"t","src_reg","dst_reg","sp1","sp2","sp3"
1,1,1,0,0,0
1,1,2,0,0,0
1,1,3,0,0,0
1,1,4,0,0,0
1,1,5,0,0,0
1,1,6,0,0,0
1,1,7,0,0,0
1,1,8,0,0,0
1,1,9,0,0,0
1,2,1,0,0,0
1,2,2,0,0,0
1,2,3,1,0,0
1,2,4,1,0,0
1,2,5,1,0,0
1,2,6,0,0,0
1,2,7,0,0,0
1,2,8,1,0,0
1,2,9,1,0,0
1,3,1,0,0,0
1,3,2,0,0,0
1,3,3,0,0,0
1,3,4,0,0,0
1,3,5,0,0,0
1,3,6,0,0,0
1,3,7,0,0,0
1,3,8,0,0,0
1,3,9,0,0,0
1,4,1,0,0,0
1,4,2,0,0,0
1,4,3,0,0,0
1,4,4,0,0,0
1,4,5,0,0,0
1,4,6,0,0,0
1,4,7,0,0,0
1,4,8,0,0,0
1,4,9,0,0,0
1,5,1,0,0,0
1,5,2,0,0,0
1,5,3,0,0,0
1,5,4,0,0,0
1,5,5,0,0,0
1,5,6,0,0,0
1,5,7,0,0,0
1,5,8,0,0,0
1,5,9,0,0,0
1,6,1,0,1,0
1,6,2,0,2,0
1,6,3,0,0,0
1,6,4,0,1,0
1,6,5,0,0,0
1,6,6,0,0,0
1,6,7,0,0,0
1,6,8,0,0,0
1,6,9,0,0,0
1,7,1,0,0,0
1,7,2,0,0,0
1,7,3,0,0,0
1,7,4,0,0,0
1,7,5,0,0,0
1,7,6,0,0,0
1,7,7,0,0,0
1,7,8,0,0,0
1,7,9,0,0,0
1,8,1,0,0,0
1,8,2,0,0,0
1,8,3,0,0,0
1,8,4,0,0,0
1,8,5,0,0,0
1,8,6,0,0,0
1,8,7,0,0,0
1,8,8,0,0,0
1,8,9,0,0,0
1,9,1,0,0,1
1,9,2,0,0,0
1,9,3,0,0,2
1,9,4,0,0,0
1,9,5,0,0,1
1,9,6,0,0,2
1,9,7,0,0,1
1,9,8,0,0,1
1,9,9,0,0,0
101,1,1,0,0,0
101,1,2,0,0,1
101,1,3,0,0,0
101,1,4,0,0,0
101,1,5,0,0,0
101,1,6,0,0,0
101,1,7,0,0,0
101,1,8,0,0,0
101,1,9,0,0,0
101,2,1,0,0,0
101,2,2,0,0,0
101,2,3,0,0,0
101,2,4,0,1,0
101,2,5,0,1,0
101,2,6,0,0,0
101,2,7,0,0,0
101,2,8,0,0,0
101,2,9,0,0,0
101,3,1,1,0,0
101,3,2,0,0,0
101,3,3,0,0,0
101,3,4,0,0,0
101,3,5,2,0,0
101,3,6,1,0,0
101,3,7,1,0,0
101,3,8,0,0,0
101,3,9,3,0,0
