"t","p_ld_disp","tot_n_sp1","tot_n_sp2","tot_n_sp3","cells_sp1","cells_sp2","cells_sp3","m_fit_d_sp1","m_fit_d_sp2","m_fit_d_sp3","v_fit_d_sp1","v_fit_d_sp2","v_fit_d_sp3","m_fit_di_sp1","m_fit_di_sp2","m_fit_di_sp3","v_fit_di_sp1","v_fit_di_sp2","v_fit_di_sp3"
1,0.5,483,597,598,9,9,9,0.275765,0.391724,0.350164,0.0887214,0.0890919,0.119969,0.743752,0.838016,0.809331,0.0505199,0.0290687,0.0271226
101,0.5,1480,1384,1578,26,25,30,0.285286,0.189084,0.153327,0.105306,0.0355856,0.0364761,0.749621,0.740439,0.693036,0.0443714,0.0325319,0.0345216
201,0.5,1471,1423,1619,26,25,30,0.289198,0.202773,0.162013,0.0972684,0.0398404,0.0417573,0.762003,0.74391,0.703321,0.0412658,0.0346492,0.0318978
301,0.5,1543,1451,1710,26,25,30,0.297622,0.203921,0.194294,0.0921373,0.0355985,0.0534861,0.772254,0.747382,0.724734,0.0389565,0.0335094,0.0316824
401,0.5,1600,1481,1757,26,25,30,0.31042,0.220018,0.20069,0.0965189,0.0394319,0.055792,0.780943,0.758818,0.733088,0.0371736,0.0321827,0.0298878
501,0.5,1654,1526,1799,26,25,30,0.323361,0.246135,0.219014,0.100466,0.0423103,0.0639703,0.786,0.773631,0.747573,0.0360313,0.0310545,0.0282559
601,0.5,1682,1586,1823,26,25,30,0.341515,0.250807,0.227612,0.101347,0.0427608,0.0687675,0.797891,0.779058,0.755192,0.0343668,0.0297481,0.0272403
701,0.5,1671,1577,1890,26,25,30,0.364586,0.264642,0.24998,0.112542,0.0436087,0.0745071,0.804376,0.785731,0.769333,0.0336689,0.0295385,0.026063
801,0.5,1714,1580,1926,26,25,30,0.367731,0.280079,0.262855,0.106991,0.045881,0.0814216,0.813711,0.797056,0.781059,0.0304725,0.0268569,0.0235618
901,0.5,1735,1640,1911,26,25,30,0.382126,0.302341,0.267116,0.10917,0.0509703,0.0807568,0.818583,0.806605,0.7844,0.0303363,0.0260521,0.0233597
1,0,483,596,597,9,9,9,0.275841,0.392219,0.348607,0.0887161,0.0890915,0.119803,0.743792,0.838133,0.808809,0.0505199,0.0291088,0.027089
101,0,481,598,589,9,9,9,0.244862,0.305554,0.239723,0.105618,0.0413309,0.0385323,0.708459,0.824061,0.793093,0.0506633,0.0244006,0.0201665
201,0,499,609,613,9,9,9,0.271386,0.315079,0.244364,0.0989118,0.0441289,0.0417164,0.729539,0.823741,0.794433,0.0501462,0.0260483,0.0197825
301,0,508,614,609,9,9,9,0.276489,0.345538,0.276506,0.0954568,0.042099,0.0523211,0.741862,0.839882,0.806808,0.0459035,0.0232032,0.019422
401,0,528,617,633,9,9,9,0.293653,0.350273,0.277309,0.104313,0.0398642,0.0494995,0.750554,0.844196,0.808661,0.0439787,0.0214131,0.01887
501,0,534,629,633,9,9,9,0.308208,0.367179,0.300612,0.105118,0.0433142,0.0620799,0.760982,0.846598,0.817888,0.0415963,0.0232013,0.0181998
601,0,538,617,626,9,9,9,0.313895,0.391279,0.30729,0.106293,0.0503486,0.0591406,0.766655,0.853763,0.82032,0.0409731,0.021752,0.018327
701,0,544,638,655,9,9,9,0.3218,0.397677,0.34986,0.0985947,0.0488417,0.0637753,0.770612,0.858778,0.842208,0.0409732,0.0201916,0.0148946
801,0,560,637,664,9,9,9,0.348882,0.405993,0.376649,0.108316,0.043038,0.0661135,0.789804,0.858323,0.848619,0.035634,0.0224321,0.0157881
901,0,596,643,666,9,9,9,0.405871,0.441062,0.3822,0.13241,0.0487404,0.0663019,0.800516,0.871108,0.853993,0.0377471,0.0196691,0.0141989
